UNIVERSITAT DER KUNSTE BERLIN	Germany	52.508889	13.326944	4	6										
UNIVERSITAT HANNOVER	Germany	52.382214	9.717728	2	7										
UNIVERSITAT KARLSRUHE	Germany	49.009444	8.411667	6	4										
UNIVERSITAT KASSEL	Germany	51.322774	9.507562	1	0										
UNIVERSITAT STUTTGART	Germany	48.781667	9.175278	6	11										
CHIBA UNIVERSITY	Japan	35.631114	140.096639	3	0										
KEIO UNIVERSITY	Japan	35.649167	139.742778	6	8										
KYOTO CITY UNIVERSITY OF ARTS	Japan	34.974444	135.663889	1	0										
MAU MUSASHINO ART UNIVERSITY	Japan	35.726805	139.44935	1	4										
TOKYO UNIVERSITY OF THE ARTS	Japan	35.747128	139.802162	4	1										
NATIONAL TECHNICAL UNIVERSITY OF ATHENS	Greece	37.987864	23.731614	6	2										
PANEPISTIMIO PATRON	Greece	0	0	7	0										
PANEPISTIMIO THESSALIAS	Greece	40.7408	30.3333	6	0										
TECHNOLOGICO EKPEDEFTIKO IDRIMA - ATHINAS	Greece	0	0	3	1										
NATIONAL COLLEGE OF ART AND DESIGN	Ireland	53.342778	-6.278889	1	2										
TRINITY COLLEGE DUBLIN	Ireland	53.3444	-6.2577	4	1										
BEZALEL ACADEMY OF ARTS & DESIGN	Israel	0	0	14	3										
HOLON ACADEMIC INSTITUTE OF TECHNOLOGY	Israel	0	0	6	0										
TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY	Israel	32.7775	35.021667	4	5										
TEL AVIV UNIVERSITY	Israel	32.113889	34.804167	2	2										
"CONSERVATORIO DI MUSICA ""G. VERDI"""	Italy	0	0	9	0										
RIGAS TEHNISKA UNIVERSITATE	Latvia	56.944258	24.080442	16	6										
AMERICAN UNIVERISITY OF SCIENCE AND TECHNOLOGY	Lebanon	42.0266184	-93.6464675	6	1										
VILNIUS ACADEMY OF ARTS	Lithuania	54.681667	23.295833	4	1										
UNIVERSITA' TA MALTA	Malta	35.901908	14.484705	10	8										
CENTRO UNIVERSITARIO ARTE, ARQUITECTURA Y DISENO. UNIVERSIDAD DE GUADALAJARA	Mexico	20.7401	-103.311886	4	0										
INSTITUTO POLITECNICO NACIONAL	Mexico	19.500556	-99.139722	9	0										
INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY	Mexico	25.65191	-100.288101	46	3										
UNIVERSIDAD AUTONOMA METROPOLITANA	Mexico	19.2867	-99.1369	3	0										
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO	Mexico	-27.435991	-55.889234	6	0										
UNIVERSIDAD PANAMERICANA	Mexico	19.373804	-99.183693	8	1										
NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY	Norway	63.419444	10.4025	2	33										
AVANS UNIVERSITY	Netherlands	52.1889992	20.9530845	5	4										
HOGESCHOOL VAN AMSTERDAM	Netherlands	52.345694	4.916167	2	2										
HOGESCHOOL VOOR DE KUNSTEN UTRECHT	Netherlands	52.219045	5.190838	1	1										
RIJKSUNIVERSITEIT GRONINGEN	Netherlands	53.219167	6.562778	1	4										
TECHNISCHE UNIVERSITEIT DELFT	Netherlands	52.001667	4.3725	12	24										
UNIVERSITEIT VAN AMSTERDAM	Netherlands	52.368333	4.890278	3	3										
VRIJE UNIVERSITEIT	Netherlands	52.333889	4.865	1	3										
PONTIFICIA UNIVERSIDAD CATOLICA DE PERU'	Peru '	0	0	2	0										
UNIVERSIDAD DE PIURA	Peru '	-5.173517	-80.63849	3	0										
ACADEMY OF FINE ARTS IN WARSAW	Poland	52.239448	21.015034	4	1										
AKADEMIA SZTUK PIEKNYCH IM. JANA MATEJKI, KRAKOW	Poland	50.066253	19.94157	2	0										
POLITECHNICKA WARSZAWSKA	Poland	0	0	24	6										
POLITECHNIKA GDANSKA	Poland	54.371389	18.618889	5	1										
POLITECHNIKA KRAKOWSKA	Poland	50.071667	19.944167	8	2										
POLITECHNIKA WROCLAWSKA	Poland	51.108811	17.059869	5	0										
POZNAN UNIVERSITY OF TECHNOLOGY	Poland	52.3942	16.9183	17	3										
ESCOLA SUPERIOR DE ARTES E DESIGN	Portugal	39.3951314	-9.1354925	5	10										
INSTITUTO DE ARTES VISUAIS, DESIGN E MARKETING	Portugal	-26.905956	-49.07778	8	10										
INSTITUTO POLITECNICO DE CASTELO BRANCO	Portugal	39.819511	-7.512379	3	0										
INSTITUTO POLITECNICO DE SETUBAL	Portugal	0	0	2	1										
INSTITUTO SUPERIOR TECNICO, LISBOA	Portugal	38.736667	-9.138889	2	0										
UNIVERSIDADE AUTONOMA DE LISBOA DE LUIS DE CAMOES	Portugal	0	0	3	6										
UNIVERSIDADE DA BEIRA INTERIOR	Portugal	40.27738	-7.50887	5	1										
UNIVERSIDADE DE AVEIRO	Portugal	0	0	6	2										
UNIVERSIDADE DE COIMBRA	Portugal	40.2074	-8.4265	8	11										
UNIVERSIDADE DE EVORA	Portugal	38.57301	-7.90427	4	1										
UNIVERSIDADE DE LISBOA	Portugal	38.7525	-9.158889	2	4										
UNIVERSIDADE DO MINHO	Portugal	41.5608	-8.3968	4	1										
UNIVERSIDADE DO PORTO	Portugal	41.146667	-8.615556	24	28										
UNIVERSIDADE LUSIADA	Portugal	38.6979	-9.19215	8	20										
UNIVERSIDADE NOVA DE LISBOA	Portugal	38.733	-9.16046	17	7										
UNIVERSIDADE TECNICA DE LISBOA	Portugal	38.7525	-9.158889	42	53										
BIRMINGHAM CITY UNIVERSITY	United Kingdom	52.517222	-1.898056	7	6										
GLASGOW SCHOOL OF ART	United Kingdom	55.866111	-4.263889	4	4										
KINGSTON UNIVERSITY	United Kingdom	51.4035	-0.3039	2	3										
ROBERT GORDON UNIVERSITY	United Kingdom	57.118921	-2.138429	2	4										
SOUTHAMPTON SOLENT UNIVERSITY	United Kingdom	50.908	-1.401	2	1										
UNIVERSITY COLLEGE LONDON	United Kingdom	51.524789	-0.133578	3	4										
UNIVERSITY OF BRIGHTON	United Kingdom	50.843945	-0.120042	4	2										
UNIVERSITY OF DUNDEE	United Kingdom	56.457222	-2.980278	3	0										
UNIVERSITY OF SHEFFIELD	United Kingdom	53.381389	-1.488272	3	5										
UNIVERSITY OF THE ARTS LONDON	United Kingdom	51.474203	-0.080535	1	1										
UNIVERSITY OF THE WEST OF ENGLAND BRISTOL	United Kingdom	51.50021	-2.54749	11	8										
VISOKE UCENI TECHNICKE V BRNE	Czech Republic	49.201541	16.603619	1	2										
VYSOKA SKOLA BANSKA - TECHNICKA UNIVERZITA OSTRAVA	Czech Republic	49.833572	18.164011	1	1										
VYSOKA SKOLA CHEMICKO - TECHNOLOGICKA V PRAZE	Czech Republic	50.100993	14.389325	1	0										
VYSOKA SKOLA UMELECKOPRUMYSLOVÀ V PRAZE	Czech Republic	50.088686	14.414931	4	4										
UNIVERSITA' STATALE DI SCIENZE E TECNOLOGIA DI TAIWAN	Republic Of China (Taiwan)	0	0	4	0										
BEIHANG UNIVERSITY	China	39.98	116.340833	14	10										
CHINA ACADEMY OF ART	China	30.243372	120.158833	6	3										
JIANGNAN UNIVERSITY	China	31.482508	120.277616	8	3										
TONGJI UNIVERSITY	China	31.231002	121.452066	104	80										
TSINGHUA UNIVERSITY	China	40.001244	116.328484	25	13										
UNIVERSITA' DI SHENZHEN	China	0	0	16	1										
UNIVERSITA' HUNAN	China	43.617191	13.511313	4	0										
XI'AN JIAOTONG UNIVERSITY	China	34.244722	108.983611	15	0										
"UNIVERSITATEA DE ARCHITECTURA SI URBANISM ""ION MINCIU"""	Romania	0	0	1	0										
UNIVERSITATEA POLITEHNICA DIN TIMISOARA	Romania	45.747608	21.233131	1	0										
MEGATREND UNIVERSIY	Serbia	44.8148975	20.411581	5	0										
NATIONAL UNIVERSITY OF SINGAPORE	Singapore	1.295556	103.776667	4	4										
SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE	Slovakia	48.15186	17.073326	6	0										
TECHNICKA UNIVERZITA V KOSICIACH	Slovakia	48.730805	21.246846	8	0										
ZILINSKA UNIVERZITA	Slovakia	49.202876	18.755157	3	0										
UNIVERZA V LJUBLJANI	Slovenia	46.048889	14.503889	3	1										
VISOKA SOLA ZA DIZAJN	Slovenia	45.547969	13.729504	1	0										
CENTRE AUTORITZAT DE GRAU SUPERIOR D'ARTS PLASTIQUES I DISSENY I SUPERIOR DE DISSENY FELICIDAD DUCE	Spain	0	0	2	0										
IE UNIVERSIDAD	Spain	40.953148	-4.117513	5	8										
MONDRAGON UNIBERTSITATEA	Spain	43.0618002	-2.4973501	10	0										
UNIVERSIDAD ALFONSO X EL SABIO	Spain	28.268611	-16.605556	10	7										
UNIVERSIDAD AUTONOMA DE MADRID	Spain	40.5453	-3.69611	2	6										
UNIVERSIDAD CAMILO JOSE' CELA	Spain	40.439019	-3.819058	6	4										
UNIVERSIDAD CARDENAL HERRERA - CEU	Spain	39.55	-0.4	4	3										
UNIVERSIDAD CARLOS III DE MADRID	Spain	40.331813	-3.767999	4	3										
UNIVERSIDAD CATOLICA SAN ANTONIO DE MURCIA	Spain	38.142694	-1.065087	9	2										
UNIVERSIDAD COMPLUTENSE DE MADRID	Spain	40.449167	-3.728056	10	6										
UNIVERSIDAD DE ALCALA'	Spain	40.482536	-3.361151	4	3										
UNIVERSIDAD DE ALICANTE	Spain	38.384639	-0.513147	11	9										
UNIVERSIDAD DE DEUSTO	Spain	43.270833	-2.9375	11	4										
UNIVERSIDAD DE EXTREMADURA	Spain	39.4796725	-6.3516887	5	0										
UNIVERSIDAD DE GRANADA	Spain	37.184167	-3.601667	20	15										
UNIVERSIDAD DE JAEN	Spain	37.786111	-3.774167	12	0										
UNIVERSIDAD DE LA LAGUNA	Spain	28.48176	-16.317047	10	2										
UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA	Spain	28.099167	-15.419722	22	22										
UNIVERSIDAD DE MALAGA	Spain	36.72	-4.416111	12	11										
UNIVERSIDAD DE NAVARRA	Spain	42.801478	-1.659713	3	3										
UNIVERSIDAD DE OVIEDO	Spain	43.241472	-5.776701	6	3										
UNIVERSIDAD DE SANTIAGO DE COMPOSTELA	Spain	-33.448906	-70.681905	4	0										
UNIVERSIDAD DE SEVILLA	Spain	37.3801	-5.9916	72	53										
UNIVERSIDAD DE VALLADOLID	Spain	41.652222	-4.721389	14	14										
UNIVERSIDAD DE ZARAGOZA	Spain	41.64157	-0.899398	15	6										
